,NAME,IMD Score
0,Abbey,22.72602101576181
1,Abbey Hulton and Townsend,45.01534285714287
2,Abbey Meads,8.118897727272719
3,Abbey North,14.006517241379306
4,Abbey Road,10.281405405405403
5,Abbey South,23.421692307692304
6,Abbey Wood,30.799520833333347
7,Abbeygate,17.14633333333334
8,Abbots Langley,7.389312500000001
9,Abbotsford,8.941
10,Abbott,29.450444444444447
11,Abingdon,14.766594594594592
12,Abingdon Abbey and Barton,9.559947368421051
13,Abingdon Caldecott,20.133928571428573
14,Abingdon Dunmore,3.002
15,Abingdon Fitzharris,8.177142857142856
16,Abingdon Northcourt,8.866999999999999
17,Abingdon Ock Meadow,10.529642857142857
18,Abingdon Peachcroft,4.324571428571427
19,Abington,20.025531250000004
20,Abram,34.1579
21,Acklam,11.029166666666665
22,"Ackworth, North Elmsall and Upton",20.05424074074074
23,Acle,12.146500000000001
24,Acocks Green,42.18805882352941
25,Acomb,12.494555555555552
26,Acton Central,23.94022222222222
27,Adderbury,8.205666666666668
28,Addiscombe,21.56001666666666
29,Addison,22.74997727272727
30,Addlebrough,13.210000000000003
31,Addlestone Bourneside,13.93825
32,Addlestone North,15.888736842105258
33,Adel and Wharfedale,11.072590909090911
34,Adeyfield East,19.000117647058826
35,Adeyfield West,20.16252941176471
36,Adlington and Anderton,13.456519999999998
37,Admirals,9.607739130434783
38,Adwick,39.74817307692308
39,Aggborough and Spennells,14.486565217391306
40,"Aighton, Bailey and Chaigley",16.317000000000004
41,Ainsdale,17.56246511627907
42,Aire Valley with Lothersdale,7.672076923076923
43,Airedale and Ferry Fryston,41.18973469387755
44,Airfield,13.70926666666667
45,Alamein,25.667703703703705
46,Albrighton,11.626124999999998
47,Alcester,14.159761904761902
48,Alcombe,19.499000000000006
49,Alconbury and The Stukeleys,8.9042
50,Aldborough,16.516421052631575
51,Aldbourne and Ramsbury,7.468705882352943
52,Aldbury and Wigginton,7.54
53,Aldeburgh,12.281199999999995
54,Aldenham East,5.455266666666666
55,Aldenham West,8.663999999999998
56,Alderbury and Whiteparish,8.335615384615382
57,Alderholt,4.911333333333334
58,Alderley Edge,3.8248125
59,Aldermaston,14.216500000000002
60,Alderney,27.39561111111112
61,Aldersgate,6.207999999999999
62,Aldridge Central and South,16.074869565217394
63,Aldridge North and Walsall Wood,19.225238095238097
64,Aldwick East,10.759333333333329
65,Aldwick West,10.886666666666663
66,Alexandra,29.06432846715326
67,"Alfold, Cranleigh Rural and Ellens Green",19.013
68,Alford,27.73133333333333
69,Alfreton,29.45314814814815
70,Alfrick and Leigh,15.883909090909093
71,Alfriston,13.100199999999997
72,Alibon,35.59387096774193
73,All Saints,15.633293577981643
74,Allerton and Hunts Cross,22.958779999999997
75,Allestree,5.124652173913044
76,Allington,4.812750000000002
77,Allington and Loddiswell,17.065
78,Almondbury,20.455754098360654
79,Almondsbury,12.049230769230768
80,Alnwick,21.445062499999995
81,Alperton,22.42197058823529
82,Alphington,13.245499999999996
83,Alport,11.055555555555555
84,Alresford,12.605000000000002
85,Alrewas and Fradley,6.186894736842102
86,Alsager,10.57456097560976
87,Alston Moor,19.127
88,Alston and Hothersall,8.716222222222221
89,Altarnun,24.786769230769227
90,Altham,26.993055555555568
91,Althorne,14.871153846153845
92,Altofts and Whitwood,24.21767307692306
93,Alton,10.053315789473682
94,Alton Amery,6.089
95,Alton Ashdell,4.707
96,Alton Eastbrooke,19.00922222222222
97,Alton Park,52.357722222222215
98,Alton Westbrooke,15.232999999999999
99,Alton Whitedown,6.433999999999999
100,Alton Wooteys,15.093
101,Altrincham,8.560184210526316
102,Alvaston,34.407854545454526
